Equation,Solutions
-2x^2 + 1x + 8 = 0,"[1/4 - sqrt(65)/4, 1/4 + sqrt(65)/4]"
6x^2 + 2x + -3 = 0,"[-1/6 + sqrt(19)/6, -sqrt(19)/6 - 1/6]"
1x^2 + -10x + -8 = 0,"[5 - sqrt(33), 5 + sqrt(33)]"
-3x^2 + 10x + 6 = 0,"[5/3 - sqrt(43)/3, 5/3 + sqrt(43)/3]"
9x^2 + -5x + 1 = 0,"[5/18 - sqrt(11)*I/18, 5/18 + sqrt(11)*I/18]"
-1x^2 + 2x + -8 = 0,"[1 - sqrt(7)*I, 1 + sqrt(7)*I]"
-6x^2 + 0x + -6 = 0,"[-I, I]"
2x^2 + -9x + 4 = 0,"[1/2, 4]"
7x^2 + 6x + 2 = 0,"[-3/7 - sqrt(5)*I/7, -3/7 + sqrt(5)*I/7]"
10x^2 + -9x + 6 = 0,"[9/20 - sqrt(159)*I/20, 9/20 + sqrt(159)*I/20]"
